title,url,category,filetype,slide_count,publishing_consultancy,description
"Complete Organization Design Toolkit",https://flevy.com/browse/marketplace/complete-organization-design-toolkit-4016,"Organization, Change, & HR",PowerPoint,103,"Corporate Finance 101","This presentation is created by a team of ex-EY consultants. It provides a robust framework used by tier-1 strategy consulting firms for Organizational Design and its implementation."
"Five Stages of Business Growth",https://flevy.com/browse/marketplace/five-stages-of-business-growth-249,"Organization, Change, & HR",PowerPoint,25,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. The 5 Stages of Growth framework is one of the most popular and effective Business Maturity Models used by Strategy Consultants."
"Organizational Design Framework",https://flevy.com/browse/marketplace/organizational-design-framework-7756,"Organization, Change, & HR",PowerPoint,70,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides a robust, modern approach to Organizational Design used by global consulting firms."
"Organizational Design and Capability Analysis",https://flevy.com/browse/flevypro/organizational-design-and-capability-analysis-1705,"Organization, Change, & HR",PowerPoint,31,"LearnPPT Consulting","Explore this comprehensive PPT on Organizational Design, crafted by ex-McKinsey and Big 4 consultants. Master the first 3 steps and enhance strategic capability analysis."
"McKinsey 7-S Strategy Model",https://flevy.com/browse/marketplace/mckinsey-7-s-strategy-model-197,"Organization, Change, & HR",PowerPoint,26,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation explains the McKinsey 7-S Model for driving organizational effectiveness and alignment."
"Structured Thinking 101: Clarity Through Storylines",https://flevy.com/browse/marketplace/structured-thinking-101-clarity-through-storylines-196,"Organization, Change, & HR",PowerPoint,39,"Clarity First ","McKinsey 3 years on staff, 15 years freelance trainer & coach | Barbara Minto Approved | BCG training designer | Coaches at FX10 and ASX 10 | Startup founder | Author | C-suite Coach."
"Objectives and Key Results (OKR)",https://flevy.com/browse/flevypro/objectives-and-key-results-okr-4022,"Organization, Change, & HR",PowerPoint,23,"LearnPPT Consulting","Explore the OKR framework developed by ex-McKinsey consultants. Enhance goal alignment, accountability, and measurable outcomes with this comprehensive PPT."
"Smart Organizational Design",https://flevy.com/browse/flevypro/smart-organizational-design-4137,"Organization, Change, & HR",PowerPoint,27,"LearnPPT Consulting","Explore the Smart Organizational Design framework by ex-McKinsey and Big 4 consultants. Transform your organization with behavior-driven strategies for sustainable change."
"End-to-end (E2E) Operating Model Transformation",https://flevy.com/browse/flevypro/end-to-end-e2e-operating-model-transformation-3800,"Organization, Change, & HR",PowerPoint,30,"LearnPPT Consulting","Transform your organization's E2E Operating Model with insights from ex-McKinsey & Big 4 consultants. Enhance efficiency, reduce costs, and improve customer service."
"Product Lifecycle",https://flevy.com/browse/marketplace/product-lifecycle-227,"Organization, Change, & HR",PowerPoint,34,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It explains the approach to Product Lifecycle Analysis utilized by global strategy consulting firms."
"Soft Side of Change Management",https://flevy.com/browse/marketplace/soft-side-of-change-management-261,"Organization, Change, & HR",PowerPoint,20,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It teaches a practical consulting framework actively used by tier-1 consulting firms."
